v0.0.1, 13-12-2015 -- Initial release.
v0.0.2, 13-12-2015 -- Initial release.
v0.0.3, 13-12-2015 -- Initial release.
v0.0.4, 13-12-2015 -- Initial release.
v0.0.5, 13-12-2015 -- Initial release.
v0.0.6, 13-12-2015 -- Initial release.
v0.0.7, 13-12-2015 -- Initial release.
v0.0.8, 13-12-2015 -- Initial release.
v0.0.9, 13-12-2015 -- Initial release.
v0.0.10, 13-12-2015 -- Initial release.
v0.0.11, 13-12-2015 -- Initial release.
v0.0.12, 13-12-2015 -- Initial release.
v0.0.13, 13-12-2015 -- Initial release.
